,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Everybody Dies In Their Nightmares",XXXTENTACION,429275,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
57,"no tears left to cry","Ariana Grande",428272,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
58,"Body (feat. brando)","Loud Luxury",427833,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
59,"Love Lies (with Normani)",Khalid,420644,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
60,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",419303,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
61,"RAP DEVIL","Machine Gun Kelly",410117,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
62,BEBE,6ix9ine,408266,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
63,"SLOW DANCING IN THE DARK",Joji,405603,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
64,"Ric Flair Drip (& Metro Boomin)",Offset,404390,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
65,Ladders,"Mac Miller",400026,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
66,"Feels Like Summer","Childish Gambino",394149,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
67,"Jackie Chan",Tiësto,385601,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
68,"Te Boté - Remix","Nio Garcia",380962,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
69,SWISH,Tyga,379283,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
70,Trip,"Ella Mai",377417,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
71,"XO TOUR Llif3","Lil Uzi Vert",376221,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
72,"lovely (with Khalid)","Billie Eilish",375666,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Hope,XXXTENTACION,374324,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
74,"Happy Now",Zedd,372462,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
75,"High Hopes","Panic! At The Disco",372131,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
76,"Plug Walk","Rich The Kid",369566,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
77,"I'm Upset",Drake,367715,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
78,"Hurt Feelings","Mac Miller",361006,https://open.spotify.com/track/5p7GiBZNL1afJJDUrOA6C8
79,"Mob Ties",Drake,356909,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
80,"In My Mind",Dynoro,355709,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
81,Normal,Eminem,353620,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
82,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,353556,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
83,Lust,"Lil Skies",352993,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
84,"Look At Me!",XXXTENTACION,351517,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
85,"Come Back to Earth","Mac Miller",343229,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR
86,OTW,Khalid,341763,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
87,"Magic In The Hamptons (feat. Lil Yachty)","Social House",341744,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
88,"Ball For Me (feat. Nicki Minaj)","Post Malone",340298,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
89,"BUTTERFLY EFFECT","Travis Scott",336722,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
90,"Venom - Music From The Motion Picture",Eminem,333600,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
91,Legends,"Juice WRLD",333342,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
92,"Nephew (feat. Lil Pump)",Smokepurpp,324069,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
93,"Stepping Stone",Eminem,323391,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
94,"Boo'd Up","Ella Mai",322190,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
95,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",318243,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
96,"Candy Paint","Post Malone",317697,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
97,Rise,"Jonas Blue",317462,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
98,REMEDY,Alesso,316485,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
99,"Vaina Loca",Ozuna,315526,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
100,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",313324,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
101,"REEL IT IN",Aminé,312351,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
102,"I Like Me Better",Lauv,312198,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
103,Mine,Bazzi,307391,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
104,JAPAN,"Famous Dex",307276,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
105,2009,"Mac Miller",306999,https://open.spotify.com/track/6dFn6my1sHK2bcf23GlHwM
106,Congratulations,"Post Malone",305921,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
107,HUMBLE.,"Kendrick Lamar",303864,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
108,"I'm a Mess","Bebe Rexha",303309,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
109,"Shake It Up","Trippie Redd",301421,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
110,"All Mine","Kanye West",298905,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
111,"Walk It Talk It",Migos,297022,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
112,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",295473,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
113,"Nowadays (feat. Landon Cube)","Lil Skies",295356,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
114,"Champion (feat. Travis Scott)",NAV,294528,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
115,"Bounce Out With That","YBN Nahmir",293595,https://open.spotify.com/track/5gQcxYXqnofyocKgEbGYKt
116,goosebumps,"Travis Scott",293429,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
117,"The Flute Song",Russ,292714,https://open.spotify.com/track/6pGuOWYOFDcSgmVvFWRWSv
118,"CAN'T SAY","Travis Scott",292398,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
119,"Good Guy (feat. Jessie Reyez)",Eminem,292308,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
120,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",289673,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
121,"What's the Use?","Mac Miller",289621,https://open.spotify.com/track/2dgrYdgguVZKeCsrVb9XEs
122,"Ned Flanders (feat. A$AP Ferg)",MadeinTYO,288586,https://open.spotify.com/track/6f5i916F3jU6BhOOD7iGqf
123,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",287668,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
124,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",287343,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
125,"8 Letters","Why Don't We",286992,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
126,"WAKE UP","Travis Scott",284307,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
127,"No Rest","Lil Skies",284217,https://open.spotify.com/track/0chpIFSjgfd1CPrAxM7PWp
128,"Call Out My Name","The Weeknd",283403,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
129,"Tie Me Down (with Elley Duhé)",Gryffin,283360,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
130,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",280065,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
131,Narcos,Migos,279304,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
132,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",279119,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
133,"Red Roses (feat. Landon Cube)","Lil Skies",278132,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
134,"Don’t Matter To Me (with Michael Jackson)",Drake,274030,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
135,"Barbie Dreams","Nicki Minaj",273958,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
136,"Life Goes On","Lil Baby",271568,https://open.spotify.com/track/2bSk87AVkCIIC3Bcligq1z
137,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",266915,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
138,"Young Dumb & Broke",Khalid,265169,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
139,sweetener,"Ariana Grande",261989,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
140,Location,Khalid,261382,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
141,"Weekend (feat. Miguel)","Mac Miller",261348,https://open.spotify.com/track/6GnhWMhgJb7uyiiPEiEkDA
142,"Missin You Crazy",Russ,260513,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
143,"The Middle",Zedd,260269,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
144,Thunder,"Imagine Dragons",259658,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
145,Betrayed,"Lil Xan",259529,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
146,"This Is America","Childish Gambino",258401,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
147,"One Kiss (with Dua Lipa)","Calvin Harris",257704,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
148,Simple,"Florida Georgia Line",256344,https://open.spotify.com/track/1co0puPTYvqAdUEjFOjne9
149,Tequila,"Dan + Shay",255393,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
150,"You Make It Easy","Jason Aldean",255099,https://open.spotify.com/track/6EGAfJaLUFzhS4zRBIEQ2J
151,"She Got the Best of Me","Luke Combs",254415,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA
152,"Paul - Skit","Paul Rosenberg",253699,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
153,"Nice Guy (with Jessie Reyez)",Eminem,253394,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
154,"YEAH RIGHT",Joji,252218,https://open.spotify.com/track/5gFmgXPCLu9xIfMUXSbRru
155,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",251668,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
156,Believer,"Imagine Dragons",251185,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
157,"Black & White","Juice WRLD",250287,https://open.spotify.com/track/1R0Ig5KYrSGWvIoPzY4T3l
158,"All The Stars (with SZA)","Kendrick Lamar",250137,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
159,CAROUSEL,"Travis Scott",247714,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
160,Havana,"Camila Cabello",247610,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
161,"Best Part",H.E.R.,246538,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
162,"Stir Fry",Migos,246213,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
163,Stay,"Post Malone",245742,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
164,NUMB,XXXTENTACION,245313,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
165,"Bank Account","21 Savage",245255,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
166,1-800-273-8255,Logic,244315,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
167,idontwannabeyouanymore,"Billie Eilish",243367,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
168,"Creeping (feat. Rich the Kid)","Lil Skies",242375,https://open.spotify.com/track/7ms3VzLTfr7fXNOqA4Mkx9
169,Heaven,"Kane Brown",241442,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
170,"Playinwitme (feat. Kehlani)",KYLE,239963,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
171,"Let You Down",NF,238853,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
172,Speechless,"Dan + Shay",238693,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
173,"Ring (feat. Kehlani)","Cardi B",237960,https://open.spotify.com/track/5DfWF0jqMgZDCiu9zJENTA
174,"Dark Knight Dummo","Trippie Redd",237290,https://open.spotify.com/track/4apiNNK0jp9uqn3JDG9My1
175,"Plain Jane","A$AP Ferg",236465,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
176,"NO BYSTANDERS","Travis Scott",234772,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
177,"LOVE. FEAT. ZACARI.","Kendrick Lamar",234058,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
178,broken,lovelytheband,232164,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
179,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",232053,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
180,Wings,"Mac Miller",232027,https://open.spotify.com/track/16umSNZfofRpDqTvf8DIAo
181,"ocean eyes","Billie Eilish",230942,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
182,"Rich & Sad","Post Malone",230353,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
183,"No Role Modelz","J. Cole",229870,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
184,"Beautiful Crazy","Luke Combs",228496,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
185,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",228456,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
186,TATI,6ix9ine,227571,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
187,KOD,"J. Cole",227395,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
188,Africa,Toto,227038,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
189,APESHIT,"The Carters",225596,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
190,"Ocean (feat. Khalid)","Martin Garrix",225572,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
191,Silence,Marshmello,225003,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
192,"STOP TRYING TO BE GOD","Travis Scott",224743,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
193,"Eyes On You","Chase Rice",224413,https://open.spotify.com/track/5AnSllIrgGsCZzZJkVnApx
194,"Bodak Yellow","Cardi B",222301,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
195,Paranoid,"Post Malone",221700,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
196,"No Limit",G-Eazy,221085,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
197,"R.I.P. SCREW","Travis Scott",221072,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
198,"Solo (feat. Demi Lovato)","Clean Bandit",220818,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
199,"Donald Trump","Mac Miller",218992,https://open.spotify.com/track/1yYzuNd0KRyHVJ3NH8apBt
200,"Rubbin Off The Paint","YBN Nahmir",217557,https://open.spotify.com/track/6V4KHt9xu4TPEnDFoBeacT
